"","YEAR","CTYNAME","TOTVOTERS","MIDTERM"
"600",2016,"wilkin",3342,0
"601",2008,"winona",28038,0
"602",2012,"winona",27399,0
"603",2016,"winona",26309,0
"604",2008,"wright",65749,0
"605",2012,"wright",68103,0
"606",2016,"wright",70122,0
"607",2008,"yellow medicine",5601,0
"608",2012,"yellow medicine",5456,0
"609",2016,"yellow medicine",5322,0
"610",2018,"aitkin",6987.67077147724,1
"611",2018,"anoka",125537.758995696,1
"612",2018,"becker",12086.1600099876,1
"613",2018,"beltrami",16324.3659103593,1
"614",2018,"benton",14893.1116048722,1
"615",2018,"big stone",2131.14951622732,1
"616",2018,"blue earth",23664.3154939258,1
"617",2018,"brown",10055.5774834972,1
"618",2018,"carlton",14486.5125746383,1
"619",2018,"carver",38374.4103146342,1
"620",2018,"cass",12508.5499430078,1
"621",2018,"chippewa",4942.24466586153,1
"622",2018,"chisago",21825.2519749455,1
"623",2018,"clay",21447.3585576517,1
"624",2018,"clearwater",3310.46888124227,1
"625",2018,"cook",2301.51668838716,1
"626",2018,"cottonwood",4288.53365741867,1
"627",2018,"crow wing",28875.9521239052,1
"628",2018,"dakota",158418.506623609,1
"629",2018,"dodge",7591.04726243804,1
"630",2018,"douglas",15981.8948623929,1
"631",2018,"faribault",5890.42953738492,1
"632",2018,"fillmore",8573.20604093107,1
"633",2018,"freeborn",12552.107355411,1
"634",2018,"goodhue",19377.2412039589,1
"635",2018,"grant",2814.15085029167,1
"636",2018,"hennepin",442024.647029619,1
"637",2018,"houston",8447.3065973897,1
"638",2018,"hubbard",9370.4976315224,1
"639",2018,"isanti",14741.224855971,1
"640",2018,"itasca",19996.2556070485,1
"641",2018,"jackson",4063.03340805467,1
"642",2018,"kanabec",6666.19075204215,1
"643",2018,"kandiyohi",16519.6216492283,1
"644",2018,"kittson",1807.79082403233,1
"645",2018,"koochiching",5161.05284740577,1
"646",2018,"lac qui parle",2967.53480471015,1
"647",2018,"lake",5138.26333489534,1
"648",2018,"lake of the woods",1779.2665217834,1
"649",2018,"le sueur",10846.2737829166,1
"650",2018,"lincoln",2509.23649279828,1
"651",2018,"lyon",9396.40155056688,1
"652",2018,"mahnomen",1863.24324184029,1
"653",2018,"marshall",3986.73106367849,1
"654",2018,"martin",7875.44617004287,1
"655",2018,"mcleod",13826.2564527671,1
"656",2018,"meeker",9310.16979473254,1
"657",2018,"mille lacs",10079.8245031013,1
"658",2018,"morrison",13273.797938317,1
"659",2018,"mower",13797.1828181596,1
"660",2018,"murray",3597.58070247504,1
"661",2018,"nicollet",12672.2375670958,1
"662",2018,"nobles",5212.72999985329,1
"663",2018,"norman",2605.13479615775,1
"664",2018,"olmsted",50676.4524623317,1
"665",2018,"otter tail",24769.7071272712,1
"666",2018,"pennington",5194.99576289247,1
"667",2018,"pine",11698.2497671499,1
"668",2018,"pipestone",3439.99272172562,1
"669",2018,"polk",10804.6535645525,1
"670",2018,"pope",4905.0084513335,1
"671",2018,"ramsey",182154.935444505,1
"672",2018,"red lake",1558.91222920621,1
"673",2018,"redwood",5918.81869798663,1
"674",2018,"renville",5957.76569831839,1
"675",2018,"rice",22910.0307195741,1
"676",2018,"rock",3559.61440060296,1
"677",2018,"roseau",5895.82699055926,1
"678",2018,"scott",45949.3230522456,1
"679",2018,"sherburne",33254.7111538028,1
"680",2018,"sibley",5843.29404414337,1
"681",2018,"stearns",54899.1310162639,1
"682",2018,"steele",14264.7833263167,1
"683",2018,"stevens",3981.27163027514,1
"684",2018,"st. louis",84079.4565700262,1
"685",2018,"swift",3993.82393453527,1
"686",2018,"todd",9615.79670517499,1
"687",2018,"traverse",1412.8798925342,1
"688",2018,"wabasha",8942.93077696728,1
"689",2018,"wadena",5262.11996388794,1
"690",2018,"waseca",6853.08547202512,1
"691",2018,"washington",97148.0764658072,1
"692",2018,"watonwan",4013.50884538051,1
"693",2018,"wilkin",2602.68470557351,1
"694",2018,"winona",17757.0550397664,1
"695",2018,"wright",49940.8210180914,1
"696",2018,"yellow medicine",3978.35667817399,1
